,BLACK CAT,BLEACH,HUNTER×HUNTER,Mr. FULLSWING,NARUTO −ナルト−,ONE PIECE,ROOKIES,TATOO HEARTS,Ultra Red,★ＳＡＮＴＡ！★,いちご１００％,こちら葛飾区亀有公園前派出所,ごっちゃんです!!,アイシールド21,キックス メガミックス,グラナダ,グラナダ −究極科学探検隊−,サラブレッドと呼ばないで,シャーマンキング,ジョジョの奇妙な冒険,テニスの王子様,ヒカルの碁,ピューと吹く！ジャガー,プリティ フェイス,ボボボーボ・ボーボボ,戦国乱破伝 サソリ,新連載作品(１０週未満),武装錬金,神奈川磯南風天組,神撫手,遊☆戯☆王,闇神コウ 〜暗闇にドッキリ！〜,Ａ・Ｏ・Ｎ
1,6,13,16,2,3,4,休,,12,,10,7,,9,,1,,,15,17,5,休,19,14,11,,,,,,8,,18
2,9,13,14,12,2,4,17,1,16,,6,11,,3,,,5,,休,18,7,休,19,15,8,,,,,,10,,
3,14.0,10.0,19.0,12.0,13.0,3.0,18.0,8.0,17.0,,9.0,11.0,,1.0,,,6.0,,4.0,20.0,5.0,2.0,21.0,15.0,16.0,,,,,,7.0,,
5,15.0,8.0,20.0,7.0,1.0,2.0,21.0,10.0,18.0,,12.0,9.0,,5.0,,,13.0,,14.0,19.0,3.0,11.0,22.0,16.0,17.0,,,,,,4.0,,
6,21.0,5.0,18.0,19.0,9.0,1.0,20.0,13.0,8.0,,14.0,10.0,,4.0,,,15.0,,3.0,11.0,2.0,12.0,22.0,16.0,17.0,,,,,,7.0,,
8,8,6,18,7,4,2,休,12,16,,13,14,,3,,,11,,5,15,1,10,20,19,17,,,,,,9,,
9,11,1,19,10,3,4,18,14,17,,6,15,,2,,,12,,7,20,5,9,休,13,8,,,,,,16,,
10,12.0,7.0,16.0,11.0,2.0,3.0,1.0,13.0,18.0,,17.0,14.0,,6.0,,,19.0,,9.0,20.0,4.0,8.0,21.0,15.0,10.0,,,,,,5.0,,
11,12,9,休,6,3,4,14,16,15,,11,8,,2,,,17,,10,19,1,5,20,13,18,,,,,,7,,
12,19,8,16,休,2,3,休,15,12,,13,11,,4,,,18,,14,1,6,7,20,17,5,,,,,,10,,
13,14.0,10.0,16.0,9.0,4.0,2.0,18.0,19.0,12.0,,1.0,13.0,,3.0,,,17.0,,11.0,20.0,5.0,8.0,21.0,15.0,6.0,,,,,,7.0,,
14,13.0,10.0,16.0,14.0,2.0,3.0,19.0,18.0,12.0,,9.0,8.0,,1.0,,,20.0,,15.0,17.0,4.0,7.0,21.0,11.0,5.0,,,,,,6.0,,
15,15,13,11,8,3,2,7,18,14,,16,1,,5,,,19,,4,17,6,休,21,20,10,,,,,,12,,
16,14,10,休,5,3,4,19,18,11,,8,12,,2,,,20,,15,17,6,7,21,16,1,,,,,,13,,
17,17,3,16,11,1,休,休,19,15,,13,14,,7,,,,,10,18,4,2,20,8,6,,,,,,5,,
18,7,3,15,9,4,2,18,,14,,10,12,,5,,,,,17,13,6,休,19,落,8,,,,,,11,1,
19,15,8,休,13,4,2,18,,12,1,10,9,,5,,,,,14,19,3,7,20,17,11,,,,,,16,6,
20,17,8,16,13,3,2,19,,15,9,11,10,,4,,,,,18,,休,7,20,14,5,,,,,,1,6,
21,19,8,16,休,3,2,休,,15,4,5,14,,1,,,,,17,,6,7,20,11,10,,,,,,13,12,
22,19.0,5.0,16.0,14.0,2.0,1.0,17.0,,12.0,10.0,13.0,18.0,,6.0,,,,,20.0,,3.0,4.0,21.0,11.0,8.0,,,,,,15.0,9.0,
24,17.0,1.0,15.0,8.0,7.0,6.0,18.0,,16.0,11.0,10.0,13.0,,3.0,,,,,5.0,,2.0,,20.0,19.0,4.0,,,,,,14.0,12.0,
25,17,7,休,8,4,2,18,,10,16,12,13,,6,,,,,14,,3,,19,1,5,,,,,,11,15,
26,7,4,11,9,3,2,18,,16,14,8,15,,1,,,,,10,,5,,19,17,6,,,,,,休,13,
27,11,7,12,1,4,2,休,,18,16,14,6,,3,,,,,13,,8,,20,17,5,,,,,,10,15,
28,10,11,8,9,4,3,落,,18,14,13,12,,5,1,,,,16,,6,,20,19,2,,,,,,7,15,
29,13,5,休,7,6,2,休,,17,16,12,10,1,3,4,,,,11,,休,,18,,8,,,,,,9,14,
30,15,12,11,8,4,3,休,,,17,10,14,9,5,6,,,,休,,7,,18,,2,,,1,,,13,16,
31,13,12,11,落,3,2,休,,,19,16,15,4,9,8,,,,18,,7,,20,,6,,,5,1,,14,17,
32,休,7,15,9,5,3,休,,,,17,12,10,6,11,,,,8,,13,,19,,14,,,4,2,,16,18,
33,15,14,休,休,3,1,休,,,,12,13,10,2,9,,,,17,,6,,19,,11,,,4,5,,7,18,
34,13,7,15,12,3,6,休,,,,11,14,8,1,10,,,,16,,休,,19,,5,,,2,4,,17,18,
35,18,10,16,6,3,2,休,,,,11,14,9,5,12,,,,15,,7,,落,,1,,,8,4,,17,19,
36,1,10,休,6,2,休,8,,,,15,14,13,5,11,,,,17,,3,,19,,7,,,4,12,,16,,
37,18.0,9.0,13.0,19.0,1.0,4.0,16.0,,,,14.0,8.0,15.0,3.0,17.0,,,,12.0,,2.0,,20.0,,10.0,,,6.0,5.0,,11.0,,
39,8,1,15,16,4,2,12,,,,18,13,17,7,11,,,,10,,5,,19,,6,,,3,14,,休,,
40,6,10,11,12,3,2,,,,,16,14,15,1,17,,,,休,,4,,18,,5,,,9,13,,休,,
41,10,4,休,12,3,2,,,,,13,14,15,5,17,,,,6,,7,,18,,11,1,,8,16,,9,,
42,13.0,8.0,11.0,14.0,6.0,2.0,,,,,15.0,16.0,10.0,7.0,,,,1.0,12.0,,9.0,,19.0,,3.0,5.0,,4.0,17.0,,18.0,,
43,11,12,15,16,6,3,,,,,7,9,13,2,,,,8,休,,5,,19,,10,4,,14,18,1,17,,
44,16,4,15,休,3,1,,,,,18,14,17,2,,,,6,8,,7,,落,,5,10,,12,休,9,13,,
45,6,5,16,17,休,3,,,,,11,14,18,1,,,,7,10,,2,,20,,8,9,,12,19,4,15,,
46,17,7,休,16,1,3,,,,,休,13,6,2,,,,9,11,,4,,19,,5,8,,15,18,10,14,,
47,10,2,16,18,4,3,,,,,15,14,17,8,,,,7,13,,1,,20,,5,11,,休,19,9,12,,
48,9,5,10,20,3,2,,,,,14,16,19,7,,,,15,1,,6,,4,,8,12,,17,休,11,13,,
49,14.0,8.0,6.0,4.0,2.0,3.0,,,,,11.0,16.0,18.0,5.0,,,,9.0,12.0,,7.0,,20.0,,1.0,15.0,,13.0,19.0,10.0,17.0,,
50,12,6,休,16,2,3,,,,,7,14,9,5,,,,17,13,,1,,20,,4,19,,11,18,10,15,,
51,休,1,15,16,2,休,,,,,7,13,10,3,,,,11,8,,4,,19,,5,17,,6,18,14,12,,
52,9.0,8.0,4.0,13.0,3.0,2.0,,,,,11.0,15.0,14.0,1.0,,,,17.0,12.0,,7.0,,20.0,,6.0,19.0,,5.0,,16.0,18.0,,
