,BLACK CAT,BLEACH,D. Gray-man,DEATH NOTE,HUNTER×HUNTER,LIVE,Mr. FULLSWING,NARUTO −ナルト−,ONE PIECE,REBORN!,Waqwaq,いちご100%,いちご１００％,こちら葛飾区亀有公園前派出所,ごっちゃんです!!,ぷーやん,アイシールド21,サラブレッドと呼ばないで,シャーマンキング,スティール・ボール・ラン,テニスの王子様,ピューと吹く! ジャガー,ピューと吹く！ジャガー,ボボボーボ・ボーボボ,ムヒョとロージーの魔法律相談事務所,少年守護神,新連載作品(10週未満),新連載作品(１０週未満),未確認少年 ゲドー,武装錬金,無敵鉄姫 スピンちゃん,神撫手,遊☆戯☆王,銀魂
1,14,休,,1,15,,8,5,2,,,,12,3,16,,7,18,9,,6,,19,4,,,,,,10,,17,13,
2,12,6,,5,休,,11,3,2,,,,9,14,15,,8,17,休,,7,,落,4,,,,,,10,,16,13,1
3,13,6,,4,10,1,落,3,2,,,,9,15,14,,8,,12,,7,,19,11,,,,,,休,,18,16,5
4,14.0,3.0,,8.0,7.0,6.0,9.0,4.0,2.0,,,,12.0,16.0,18.0,,1.0,,15.0,,10.0,,19.0,11.0,,,,,,13.0,,,17.0,5.0
6,14.0,1.0,,11.0,16.0,9.0,8.0,4.0,2.0,,,,17.0,10.0,18.0,,3.0,,6.0,,5.0,,20.0,13.0,,,,,,15.0,,,19.0,7.0
8,16,8,,3,休,7,11,5,2,,,,10,14,17,,9,,12,1,休,,18,4,,,,,,13,,,15,6
9,17.0,6.0,,10.0,16.0,12.0,8.0,3.0,2.0,,,,13.0,15.0,18.0,,1.0,,14.0,4.0,7.0,,20.0,9.0,,,,,,5.0,,,19.0,11.0
10,13,1,,4,16,8,10,3,2,,,,14,18,19,,7,,15,6,12,,落,5,,,,,,11,,,17,9
11,19.0,8.0,,7.0,4.0,13.0,11.0,3.0,2.0,,,,1.0,16.0,15.0,,5.0,,17.0,9.0,6.0,,20.0,10.0,,,,,,12.0,,,18.0,14.0
12,13,2,,5,休,16,8,3,1,,,,14,15,19,,7,,12,4,6,,20,9,,,,,,11,,,18,10
13,18,6,,5,12,19,11,2,3,,,,10,13,15,,4,,16,7,9,,20,1,,,,,,休,,,14,17
14,休,9,,8,12,18,11,3,2,,,,7,14,17,,4,,休,6,1,,19,5,,,,,,13,,,16,15
15,13,休,,7,15,,9,2,3,,,,12,14,18,,8,,16,10,5,,19,6,,,,,1,11,,,4,17
16,18,10,,6,休,,14,3,2,,,11,,17,20,,7,,15,12,8,5,,9,,,,,4,13,1,,,19
17,19.0,6.0,,5.0,16.0,,18.0,3.0,2.0,,,11.0,,13.0,,,8.0,,12.0,15.0,9.0,20.0,,10.0,,1.0,,,7.0,17.0,4.0,,,14.0
18,17,6,,8,15,,12,2,3,,,14,,1,,,10,,16,休,11,19,,4,,5,,,9,18,7,,,13
19,12,4,,9,落,,休,2,休,,,11,,14,,,3,,17,休,1,18,,5,,8,,,7,16,10,,,13
20,17,2,,8,休,,13,5,1,,,16,,15,,,7,,6,休,4,18,,3,,12,,,11,休,10,,,9
21,6,8,,4,落,,11,休,2,,,18,,17,,,1,,15,休,7,休,,3,,9,,,12,16,10,,,5
22,17,9,,4,16,,18,1,2,,,15,,13,,,3,,19,休,5,21,,10,,12,,,11,20,14,,,7
24,18,5,,4,休,,1,3,2,,,13,,12,,,8,,16,休,休,19,,10,,15,,,11,9,14,,,6
25,17,5,,7,休,,10,3,2,,,14,,12,,,4,,16,休,8,19,,1,,18,,,13,11,15,,,6
26,19,4,,5,休,,11,3,2,1,,14,,15,,,6,,16,休,9,20,,8,,18,,,13,10,12,,,7
27,17,8,1,7,休,,12,2,3,5,,14,,9,,,4,,16,休,11,20,,10,,18,,,15,13,19,,,6
28,17,11,4,5,休,,13,2,3,7,,12,,15,,1,8,,16,休,10,19,,6,,18,,,14,休,,,,9
29,10,11,8,3,休,,落,2,4,7,,16,,17,,6,9,,18,1,13,20,,5,,,,,15,12,,,,14
30,,12.0,7.0,9.0,5.0,,16.0,2.0,3.0,8.0,,15.0,,17.0,,13.0,4.0,,19.0,6.0,10.0,20.0,,11.0,,,,,18.0,14.0,,,,1.0
31,,5,7,9,落,,14,2,1,11,,19,,15,,4,3,,16,12,8,20,,6,,,,,18,13,,,,10
32,,2,6,3,16,,15,4,休,12,,9,,13,,10,5,,19,17,1,20,,8,,,,,18,14,,,,7
33,,1,9,4,休,,19,2,3,13,,6,,17,,12,8,,18,15,11,休,,5,,,,,16,14,,,,7
34,,5,13,7,17,,落,3,2,12,,11,,15,,10,1,,20,16,9,21,,4,,,,,14,18,,,,8
35,,3,10,2,14,,17,休,4,8,,11,,13,,12,7,,18,15,9,20,,1,,,,,16,19,,,,6
36,,1,14,5,休,,15,3,2,9,,13,,7,,12,8,,18,16,10,19,,11,,,,,17,休,,,,6
37,,3.0,12.0,4.0,18.0,,20.0,1.0,2.0,7.0,,13.0,,16.0,,21.0,11.0,,19.0,17.0,10.0,22.0,,5.0,,,,,15.0,14.0,,,,8.0
39,,7,11,3,落,,19,6,2,9,,13,,12,,17,8,,18,15,休,20,,5,,,,,16,1,,,,10
40,,3,12,5,16,,18,2,4,11,1,13,,14,,19,6,,8,休,10,20,,7,,,,,17,15,,,,9
41,,5,8,1,休,,17,3,2,4,6,15,,13,,18,7,,,休,10,19,,9,,,,,16,14,,,,12
42,,3,10,5,落,,14,8,2,9,4,16,,15,,,1,,,休,12,19,,6,,,,,17,13,,,,11
43,,4,12,5,落,,14,2,3,10,6,9,,15,,,7,,,休,11,18,,8,,,,,16,落,,,,1
44,,1,13,8,落,,17,3,2,11,5,10,,16,,,6,,,休,12,19,,4,,,,,14,休,,,,9
45,,1,12,7,休,,15,2,3,8,9,16,,14,,,5,,,休,10,18,,6,,,,,17,13,,,,11
46,,4,12,休,14,,13,1,2,6,7,18,,15,,,8,,,5,9,19,,11,,,,,16,17,,,,3
47,,5,11,1,14,,休,3,2,6,12,17,,13,,,7,,,9,10,休,,4,,,,,18,15,,,,8
48,,2,14,10,落,,12,6,3,1,9,18,,13,,,4,,,休,7,19,,8,,,,,17,15,,,,5
49,,1,11,10,休,,14,3,2,9,15,12,,13,,,4,,,休,6,18,,7,,,,,17,16,,,,5
50,,5,10,9,休,,14,2,3,8,17,13,,12,,,1,,,休,11,18,,4,,,,,15,16,,,,6
51,,2,7,1,11,,10,休,3,5,16,15,,12,,,6,,,休,落,18,,4,,,,,17,休,,,,8
52,,3,1,11,15,,14,2,休,4,18,17,,13,,,7,,,休,5,19,,10,,,,,16,12,,,,8
