,BLEACH,D. Gray-man,DEATH NOTE,HUNTER×HUNTER,Mr. FULLSWING,NARUTO −ナルト−,ONE PIECE,REBORN!,Waqwaq,いちご100%,こちら葛飾区亀有公園前派出所,べしゃり暮らし,みえるひと,アイシールド21,カイン,スティール・ボール・ラン,タカヤ,テニスの王子様,ピューと吹く! ジャガー,ボボボーボ・ボーボボ,ムヒョとロージーの魔法律相談事務所,ユート,切法師,大泥棒ポルタ,太臓もて王サーガ,新連載作品(10週未満),未確認少年 ゲドー,武装錬金,銀魂,魔人探偵 脳噛ネウロ
1,休,8,1,15,12,2,3,7,17,14,13,,,6,,休,,11,休,5,4,,,,,,16,18,10,
2,5,7,9,休,13,3,2,8,18,16,12,,,11,,休,,10,19,6,4,,,,,,17,15,1,
3,3,8,6,16,14,2,4,7,19,13,17,,,1,,休,,12,20,5,11,,,,,,18,15,10,
5,1,11,5,16,13,3,2,6,18,14,15,,,10,,休,,12,20,9,8,,,,,,19,17,4,
7,3,10,8,休,13,休,2,6,18,14,9,,,1,,休,,4,19,5,7,,,,,,17,16,15,
8,2,12,8,16,9,休,1,10,18,15,11,,,3,,休,,4,19,6,5,,,,,,14,17,7,
9,4,8,3,17,14,1,2,6,18,10,13,,,5,,休,,12,20,7,9,,,,,,19,15,11,
10,4,13,7,18,15,2,3,6,16,1,12,,,9,,休,,11,20,5,8,,,,,,17,19,10,
11,7,12,5,休,13,2,3,4,17,10,15,,,11,,,,9,19,8,14,1,,,,,18,落,6,
12,休,7,4,14,16,2,休,10,17,15,12,,,3,,,,9,19,8,11,5,,,,,18,13,6,1
13,5.0,15.0,8.0,13.0,14.0,3.0,2.0,11.0,19.0,17.0,1.0,,,7.0,,,,12.0,20.0,6.0,16.0,10.0,,,,,,18.0,9.0,4.0
14,2,休,休,13,12,4,1,5,18,17,16,,,3,,,,9,休,10,11,6,,,,,,14,8,7
15,9,12,休,休,落,2,4,6,17,14,13,,,3,,,,8,19,1,11,10,,,,,,休,5,7
16,4,8,休,11,17,3,2,10,16,13,15,,,1,,,,休,19,5,12,6,,,,,,18,7,9
17,2,5,休,16,14,1,3,9,19,17,13,,,4,,,,12,20,10,6,11,,,,,,18,8,7
18,3,10,休,休,11,2,4,12,17,15,13,,,1,,,,5,19,8,6,14,,,,,,18,7,9
19,6,11,休,14,17,4,2,9,19,10,16,,,1,,,,8,20,5,7,13,,,,,,18,3,12
20,3.0,6.0,1.0,14.0,17.0,2.0,5.0,9.0,19.0,16.0,13.0,,,7.0,,,,11.0,20.0,8.0,4.0,15.0,,,,,,18.0,10.0,12.0
21,6.0,11.0,4.0,15.0,13.0,2.0,1.0,12.0,20.0,19.0,16.0,,,9.0,,,,3.0,21.0,5.0,8.0,17.0,,,,,,18.0,7.0,10.0
23,5,10,3,休,15,2,4,11,18,17,14,,,6,,,,8,休,7,1,16,,,,,,,9,13
24,3.0,11.0,5.0,13.0,16.0,4.0,2.0,15.0,,17.0,14.0,,,9.0,1.0,,,10.0,19.0,7.0,6.0,18.0,,,,,,,8.0,12.0
25,4.0,8.0,7.0,17.0,16.0,2.0,3.0,13.0,,18.0,14.0,,,6.0,5.0,,1.0,11.0,20.0,10.0,9.0,19.0,,,,,,,12.0,15.0
26,7.0,15.0,13.0,17.0,19.0,5.0,2.0,10.0,,18.0,16.0,,,3.0,12.0,,6.0,14.0,21.0,11.0,8.0,20.0,1.0,,,,,,9.0,4.0
27,6,8,14,休,15,2,1,16,,17,18,,,9,12,,11,13,20,5,4,19,7,,,,,,3,10
28,6.0,14.0,8.0,18.0,1.0,2.0,3.0,10.0,,20.0,16.0,,,4.0,11.0,,12.0,13.0,22.0,5.0,15.0,21.0,7.0,,,,,,17.0,19.0
29,7.0,13.0,11.0,18.0,15.0,2.0,3.0,1.0,,17.0,19.0,,,4.0,12.0,,8.0,5.0,21.0,10.0,16.0,20.0,9.0,,,,,,14.0,6.0
30,4.0,1.0,8.0,17.0,13.0,2.0,3.0,16.0,,19.0,18.0,,,5.0,15.0,,14.0,10.0,21.0,6.0,9.0,20.0,7.0,,,,,,11.0,12.0
31,7,5,10,休,16,2,1,14,,19,18,,,3,15,,9,12,休,6,8,20,17,,,,,,4,11
32,3,12,9,17,16,2,休,10,,18,15,,,4,14,,8,1,20,5,7,19,11,,,,,,6,13
33,5,休,11,17,18,3,2,12,,19,16,,1,4,13,,8,10,20,9,7,,15,,,,,,6,14
34,6,12,休,17,18,2,3,13,,20,16,,8,11,19,,14,9,21,10,5,,15,,1,,,,4,7
35,4,11,15,休,18,1,2,14,,20,16,,6,3,19,,12,8,21,5,9,,17,,10,,,,7,13
36,2.0,17.0,12.0,16.0,19.0,6.0,1.0,13.0,,,18.0,,10.0,3.0,20.0,,9.0,8.0,22.0,5.0,7.0,,21.0,,11.0,,,,4.0,15.0
38,4,16,10,17,18,2,3,12,,,14,,11,1,19,,6,休,21,5,7,,20,,8,,,,9,13
39,3,16,18,17,10,2,1,8,,,19,,11,4,21,,12,14,休,5,6,,20,,9,,,,7,15
40,1,16,10,休,18,2,4,9,,,17,,13,3,20,,15,5,21,8,7,,19,,12,,,,6,11
41,5.0,17.0,10.0,19.0,18.0,2.0,3.0,9.0,,,14.0,,16.0,4.0,20.0,,6.0,8.0,22.0,12.0,1.0,,21.0,,15.0,,,,7.0,11.0
42,3.0,18.0,14.0,17.0,12.0,2.0,4.0,6.0,,,19.0,,13.0,8.0,21.0,,7.0,15.0,22.0,5.0,9.0,,20.0,,10.0,,,,1.0,16.0
43,2,9,12,落,17,3,1,11,,,8,,14,4,20,,15,10,21,7,5,,19,,16,,,,6,13
44,2,14,8,休,18,5,3,12,,,16,1,17,4,,,11,10,20,15,7,,19,,9,,,,6,13
45,5,18,13,16,20,3,2,8,,,17,4,19,9,,,12,14,休,11,7,,,1,6,,,,15,10
46,3,16,休,1,15,2,5,10,,,17,9,20,4,,,18,落,21,8,12,,,7,13,,,,11,6
47,3,18,10,落,19,1,休,11,,,13,4,20,2,,,15,9,21,16,5,,,7,8,,,,6,14
48,3,7,14,落,18,休,1,10,,,11,6,19,2,,,13,15,20,12,5,,,9,8,,,,4,16
49,7,落,16,落,17,2,4,5,,,13,9,18,3,,,14,11,20,12,1,,,8,10,,,,6,15
50,4,落,15,13,16,2,3,1,,,12,休,18,6,,,17,14,20,9,10,,,11,8,,,,5,7
51,1,休,15,休,18,3,2,13,,,14,9,17,8,,,16,4,19,休,5,,,10,11,,,,6,7
52,7,休,15,休,17,2,1,10,,,11,6,19,3,,,13,5,休,休,9,,,14,18,,,,4,8
