,BLEACH,D. Gray-man,DEATH NOTE,HAND'S,HUNTER×HUNTER,Mr. FULLSWING,NARUTO −ナルト−,ONE PIECE,OVER TIME,P2!,REBORN!,To LOVEる,こちら葛飾区亀有公園前派出所,べしゃり暮らし,みえるひと,アイシールド21,エム×ゼロ,タカヤ,ツギハギ漂流作家,テニスの王子様,ピューと吹く! ジャガー,ボボボーボ・ボーボボ,ムヒョとロージーの魔法律相談事務所,メゾン・ド・ペンギン,大泥棒ポルタ,太臓もて王サーガ,斬,新連載作品(10週未満),真説ボボボーボ・ボーボボ,謎の村雨くん,銀魂,魔人探偵 脳噛ネウロ
1,7,休,1,,休,17,2,休,,,9,,15,11,16,6,,13,,5,19,休,4,,14,10,,,,,3,8
2,3,休,13,,休,16,4,2,,,9,,14,休,15,5,,8,,10,18,休,1,,12,17,,,,,6,7
3,5,8,休,,休,落,2,3,,,14,,12,15,17,6,,13,,11,20,1,4,,18,16,,,,,10,9
4,4,15,10,,休,18,2,1,,,12,,13,16,17,3,,9,,11,21,8,5,,20,19,,,,,6,14
6,3,8,11,,休,19,2,4,,,9,,5,17,18,1,,12,,13,21,14,6,,20,16,,,,,7,15
8,4.0,10.0,13.0,,17.0,20.0,6.0,2.0,,,7.0,,15.0,19.0,16.0,3.0,,8.0,,11.0,22.0,5.0,12.0,,21.0,18.0,,,,,14.0,1.0
9,7,9,6,,14,19,4,3,,,8,,15,12,16,2,,10,,落,21,11,5,,20,18,,,,,1,13
10,6,12,4,,15,17,5,2,,,10,,8,16,18,3,,14,1,休,20,7,9,,,19,,,,,13,11
11,3,11,13,,19,20,2,4,,,9,,16,休,18,8,,17,7,15,21,10,12,1,,6,,,,,5,14
12,5,落,11,,休,20,6,2,,,8,,15,19,16,3,,18,9,14,22,10,12,7,,17,,,,,4,1
13,2,休,12,,休,19,3,1,,,4,,8,16,15,6,,17,13,18,休,5,7,10,,14,,,,,11,9
14,2,休,11,,休,19,3,5,,,1,,15,14,17,6,,18,9,13,20,4,10,7,,16,,,,,休,8
15,1,休,12,,休,18,4,3,,,8,,16,休,17,2,,19,15,5,20,13,10,9,,11,,,,,7,6
16,2,休,13,,休,20,4,3,,,11,,1,18,17,7,,19,15,5,21,14,10,6,,9,,,,,8,12
17,3,休,8,,休,19,2,1,,,6,,11,18,17,4,,14,15,休,20,7,10,9,,16,,,,,5,13
18,2,休,8,,休,17,4,落,,,5,,11,16,15,3,,18,14,休,休,6,7,9,,12,,,,,1,10
19,7,休,10,,休,17,2,3,,,5,,9,休,15,11,,18,14,休,19,,8,6,,16,,,1,,4,13
20,5,休,10,,休,16,6,2,,,8,,12,休,15,4,,17,13,休,20,,9,7,,18,,,11,1,3,14
21,3,休,12,,休,17,4,2,,,7,1,11,20,16,5,,21,18,10,22,,14,8,,19,,,13,9,6,15
