,BLEACH,BLUE DRAGON ラルΩグラド,CLAYMORE,D. Gray-man,HAND'S,HUNTER×HUNTER,NARUTO −ナルト−,ONE PIECE,P2!,REBORN!,SKET DANCE,To LOVEる,こちら葛飾区亀有公園前派出所,ぼくのわたしの勇者学,アイシールド21,エム×ゼロ,サムライうさぎ,テニスの王子様,バレーボール使い 郷田豪,ピューと吹く! ジャガー,ベルモンド Le VisiteuR,ムヒョとロージーの魔法律相談事務所,メゾン・ド・ペンギン,初恋限定。,太臓もて王サーガ,新連載作品(10週未満),真説ボボボーボ・ボーボボ,瞳のカトブレパス,神力契約者 M&Y,重機人間ユンボル,銀魂,魔人探偵 脳噛ネウロ
1,4,1,,8,19,休,5,2,18,3,,6,9,,11,10,,16,,休,,14,12,,15,,17,,,,13,7
2,4,9,,14,,休,3,2,19,8,,10,12,,6,13,,17,,20,,16,11,,18,,15,,1,,5,7
3,11,9,,落,,休,2,3,20,5,,15,14,,4,8,,13,,21,,18,10,,19,,17,,6,1,7,16
4,3,13,,12,,休,2,1,22,7,,15,10,,4,20,,11,,23,,21,9,,17,,19,,14,8,5,18
6,7,8,,5,,休,1,3,22,4,,13,15,,2,16,,21,,23,,19,9,,20,,18,,6,10,12,11
8,3,11,,18,,休,5,2,20,6,,19,12,,1,13,,10,,21,,16,7,,9,,17,,14,4,15,8
9,12,9,,10,,休,4,2,21,3,,17,18,,7,5,,16,,22,,20,11,,15,,6,,19,13,1,8
10,3,8,,1,,休,4,2,19,10,,7,16,,6,15,,13,,21,,17,9,,11,,5,,20,18,14,12
11,7,8,,17,,休,1,3,20,6,,15,10,,12,18,,13,,22,,11,9,,5,,14,,21,19,2,4
12,2,8,,10,,休,4,3,19,11,,14,6,,5,9,,12,,21,,16,7,,17,,15,,20,18,13,1
13,3,4,,11,,休,2,1,18,5,,15,14,,8,9,,休,,21,,16,7,,17,,12,,20,19,6,13
14,4,6,,休,,休,2,3,18,10,,5,13,,11,16,1,8,,休,,14,9,,17,,7,,,19,12,15
15,2,4,,16,,休,5,3,19,6,,12,17,,10,13,9,14,1,20,,18,8,,7,,休,,,,11,15
16,3,11,,14,,休,2,休,21,15,,4,1,,6,17,12,20,5,22,,10,7,,19,,13,,,,8,16
17,2,15,,7,,休,5,1,21,3,,18,17,,6,12,10,落,13,22,,20,9,,11,,14,,,,4,8
18,10,4,,12,,休,3,2,19,13,,6,15,,9,16,8,18,5,21,,11,7,,20,,1,,,,14,17
19,1,17,,休,,休,4,3,18,5,,13,11,,7,8,12,15,16,21,,19,6,,20,,9,,,,2,14
20,7,17,,9,,休,1,3,21,4,,19,12,,2,8,16,5,18,22,,6,11,,14,,20,,,,10,13
21,2,15,,16,,休,4,3,18,14,,1,10,,8,5,12,19,11,21,,13,9,,20,,17,,,,7,6
22,3,7,,9,,休,2,1,20,4,,15,6,,5,11,17,18,16,22,,19,10,,21,,12,,,,8,13
24,2,12,,15,,休,3,4,20,10,,9,13,1,11,19,7,16,14,22,,17,8,,21,,18,,,,5,6
25,6,13,,18,,休,4,2,9,5,,19,15,7,3,11,8,14,17,21,,10,,,,,20,1,,,12,16
26,3,18,,10,,休,2,1,15,9,,5,17,6,7,19,13,休,12,21,,16,,,,,20,11,,,4,8
27,4,19,,16,,休,1,2,13,3,,18,11,9,8,15,10,14,17,21,,12,,,,,20,6,,,5,7
28,1,17,,9,,休,4,2,7,5,,11,8,10,3,19,6,16,15,21,,18,,,,,20,12,,,13,14
29,3,18,,14,,休,2,休,19,5,,7,13,8,1,9,4,12,16,21,,17,,,,,20,10,,,6,11
30,3,20,,9,,休,5,2,16,1,,6,13,17,8,18,7,12,14,22,,19,,,,,21,10,,,4,15
31,5,20,9,休,,休,3,2,13,6,,15,12,16,4,1,7,11,18,休,,8,,,,,10,17,,,14,19
32,6,20,休,13,,休,4,2,15,7,,8,14,11,5,12,9,落,19,21,1,18,,,,,,10,,,3,16
33,3,,休,6,,休,4,2,14,8,1,19,16,10,7,13,5,落,20,21,11,15,,,,,,17,,,12,9
34,8,,休,11,,休,2,1,15,7,9,5,14,16,4,10,12,18,20,21,6,19,,,,,,13,,,3,17
35,6,,休,休,,休,1,2,20,3,11,18,15,19,5,7,4,10,13,21,12,17,,,,,,9,,,8,16
36,1,,11,8,,休,6,3,15,4,16,9,7,18,2,19,10,13,22,23,14,20,,,,,,21,,,5,12
38,4,,休,18,,休,3,2,15,5,8,19,13,11,1,17,16,12,21,22,9,20,,,,,,14,,,6,7
39,8,,休,21,,休,4,2,15,1,14,11,13,17,10,18,5,19,23,休,16,9,,,,,,22,,,3,20
40,1,,6,休,,休,7,2,9,4,17,5,10,20,3,16,14,15,,21,13,18,,,,,,19,,,8,11
41,7,,休,休,,休,3,2,9,8,18,17,11,13,1,5,14,16,,19,15,6,,,,,,,,,4,10
42,5,,休,休,,休,2,落,15,4,18,6,14,7,3,12,8,11,,19,17,16,,,,,,,,,1,13
43,3,,休,休,,休,4,1,10,8,17,12,11,18,2,14,13,15,,19,16,5,,,,,,,,,7,6
44,3,,休,10,,休,5,2,15,7,18,16,13,9,8,11,17,14,,20,19,12,,1,,,,,,,4,6
45,8,,15,12,,6,3,2,16,1,19,14,10,18,4,5,13,休,,21,20,17,,11,,,,,,,7,9
46,3,,,16,,10,4,2,11,5,20,1,18,12,7,14,19,17,,休,21,6,,8,,,,,,,15,13
47,10.0,,,17.0,,14.0,5.0,2.0,1.0,4.0,18.0,13.0,16.0,8.0,6.0,9.0,12.0,15.0,,21.0,20.0,19.0,,7.0,,,,,,,3.0,11.0
48,4.0,,,18.0,,17.0,3.0,2.0,19.0,8.0,12.0,15.0,14.0,21.0,7.0,11.0,13.0,16.0,,22.0,20.0,10.0,,5.0,,,,,,,9.0,1.0
49,1,,,5,,15,休,2,17,3,16,9,14,7,4,18,11,10,,21,20,19,,13,,,,,,,8,12
50,4.0,,,19.0,,12.0,1.0,2.0,20.0,5.0,18.0,15.0,14.0,11.0,13.0,10.0,7.0,9.0,,22.0,21.0,17.0,,6.0,,,,,,,3.0,8.0
51,3.0,,,18.0,,12.0,5.0,2.0,19.0,6.0,14.0,10.0,7.0,13.0,9.0,17.0,16.0,8.0,,21.0,20.0,1.0,,15.0,,,,,,,11.0,4.0
52,1,,,5,,15,2,休,19,4,7,10,6,16,3,17,13,14,,20,,18,,8,,,,,,,11,12
