,BLEACH,D. Gray-man,HUNTER×HUNTER,K.O.SEN,MUDDY,NARUTO −ナルト−,ONE PIECE,PSYREN −サイレン−,REBORN!,SKET DANCE,To LOVEる,いぬまるだしっ,こちら葛飾区亀有公園前派出所,どがしかでん!,ぬらりひょんの孫,ぼくのわたしの勇者学,アイシールド21,アスクレピオス,エム×ゼロ,サムライうさぎ,ダブルアーツ,チャゲチャ,テニスの王子様,トリコ,バクマン。,バリハケン,ピューと吹く! ジャガー,ムヒョとロージーの魔法律相談事務所,初恋限定。,新連載作品(10週未満),私立ポセイドン学園高等部,銀魂,魔人探偵 脳噛ネウロ
1,3.0,12.0,15.0,,,4.0,2.0,1.0,6.0,7.0,14.0,,9.0,,,11.0,8.0,,19.0,16.0,,,13.0,,,,20.0,18.0,17.0,,,5.0,10.0
2,5,10,13,1,,3,2,6,4,11,8,,7,,,18,9,,19,16,,,12,,,,休,20,15,,,14,17
3,4,12,休,10,1,5,2,6,7,15,18,,14,,,9,3,,20,16,,,17,,,,21,19,11,,,8,13
4,6,16,休,11,8,2,1,12,4,13,17,,7,,,22,3,,19,20,,,18,,,,23,21,10,,14,5,15
6,3,18,休,14,10,1,2,9,5,7,19,,15,,,20,8,,21,17,,,11,,,,23,22,16,,12,4,13
8,3,12,休,11,10,4,2,9,8,13,20,,16,,,19,1,,17,14,,,5,,,,22,21,7,,6,休,15
9,1,7,休,17,11,3,2,12,8,5,21,,19,,,9,4,,15,18,,,14,,,,22,16,13,,6,10,20
10,4,20,休,21,19,5,2,13,1,15,9,,14,,,17,3,,12,10,,,8,,,,22,16,18,,6,7,11
11,7,8,休,22,20,2,3,15,4,5,17,,10,,,19,9,,18,16,,,12,,,,23,21,14,,6,1,11
12,2,18,休,21,20,3,休,16,4,13,15,,14,,,9,7,,10,11,,,1,,,,22,12,19,,6,8,5
13,3,19,休,22,21,2,1,15,9,11,12,,5,,,18,4,,13,16,,,10,,,,23,20,7,,6,8,14
14,3.0,18.0,4.0,21.0,19.0,5.0,2.0,15.0,11.0,16.0,20.0,,12.0,,,14.0,6.0,,17.0,10.0,,,8.0,,,,23.0,22.0,13.0,,9.0,7.0,1.0
15,3.0,13.0,15.0,21.0,20.0,4.0,2.0,18.0,6.0,14.0,8.0,,7.0,,1.0,16.0,5.0,,19.0,17.0,,,,,,,22.0,,12.0,,9.0,11.0,10.0
16,8.0,17.0,15.0,,21.0,5.0,2.0,12.0,10.0,19.0,13.0,,16.0,,4.0,9.0,11.0,,14.0,6.0,,,,,,1.0,22.0,,18.0,,7.0,3.0,20.0
17,9.0,17.0,15.0,,,3.0,2.0,18.0,6.0,12.0,20.0,,13.0,,11.0,16.0,5.0,,19.0,21.0,1.0,,,,,4.0,22.0,,14.0,,7.0,8.0,10.0
18,7.0,20.0,17.0,,,4.0,3.0,12.0,2.0,16.0,14.0,,1.0,,15.0,18.0,11.0,,5.0,21.0,6.0,,,,,13.0,22.0,,19.0,,9.0,8.0,10.0
19,1.0,20.0,15.0,,,2.0,3.0,14.0,12.0,16.0,17.0,,18.0,,7.0,5.0,4.0,,21.0,6.0,11.0,,,,,8.0,22.0,,19.0,,9.0,10.0,13.0
20,7,休,17,,,2,3,11,8,13,18,,14,,15,5,1,,12,19,9,,,,,10,22,,21,,6,4,20
21,2,1,17,,,休,3,9,4,19,10,,8,,7,11,5,,16,13,12,,,,,14,21,,20,,6,15,18
22,2.0,17.0,19.0,,,1.0,3.0,8.0,5.0,15.0,16.0,,12.0,,6.0,9.0,4.0,,11.0,20.0,13.0,,,,,10.0,23.0,,21.0,,22.0,7.0,14.0
24,1,13,11,,,2,休,15,10,16,12,,7,,8,5,4,,20,18,6,,,,,9,21,,19,,17,3,14
25,5,16,休,,,4,2,11,8,17,9,,15,,12,13,10,,20,18,6,,,1,,7,21,,19,,,3,14
26,6,14,休,,,3,2,9,8,18,15,,12,,10,5,4,,,16,7,,,1,,13,21,,19,,,11,17
27,3,15,休,,,5,2,13,8,17,14,,12,1,10,19,11,,,18,6,,,4,,16,20,,,,,9,7
28,1,12,休,,,2,3,9,8,18,15,,13,7,11,17,6,,,19,5,,,4,,14,20,,,,,10,16
29,7,休,休,,,2,1,16,9,17,14,,15,8,12,11,3,,,18,10,,,5,,13,20,,,,,4,19
30,4,16,休,,,2,3,14,5,19,10,,13,11,8,12,9,,,18,6,,,1,,15,20,,,,,7,17
31,6,10,休,,,2,3,19,1,20,16,,15,14,5,18,8,,,22,9,,,7,,17,23,,,,,4,21
32,休,9,休,,,2,3,16,5,18,14,,13,7,8,15,1,,,20,12,,,4,,17,21,,,,,11,19
33,1,10,休,,,2,休,17,5,18,6,,7,9,13,16,8,,,19,14,,,3,,12,20,,,,,4,15
34,3,15,休,,,2,1,18,7,17,16,,9,10,11,20,5,,,,13,,,4,,12,21,,,,,8,19
35,3,休,休,,,1,2,17,5,13,9,,12,18,4,10,11,,,,15,,,7,,8,20,,,,,6,16
36,2,5,休,,,9,3,14,4,16,7,,12,18,11,,10,,,,17,,,1,,15,19,,,,,8,13
37,4,12,休,,,2,3,13,10,14,11,,9,19,15,,8,,,,16,,,6,1,17,20,,,,,5,18
39,2,休,休,,,5,3,9,8,14,15,10,12,20,11,,1,,,,19,,,7,4,17,21,,,,,6,18
40,1,6,休,,,3,2,17,4,13,16,7,12,20,11,,10,,,,18,,,5,8,19,21,,,,,9,15
