,AKABOSHI -異聞水滸伝-,BLEACH,D. Gray-man,HUNTER×HUNTER,NARUTO −ナルト−,ONE PIECE,PSYREN −サイレン−,REBORN!,SKET DANCE,To LOVEる,あねどきっ,いぬまるだしっ,こちら葛飾区亀有公園前派出所,ぬらりひょんの孫,ねこわっぱ!,べるぜバブ,ぼっけさん,めだかボックス,わっしょい! わじマニア,アイシールド21,アスクレピオス,トリコ,バクマン。,ピューと吹く! ジャガー,フープメン,マイスター,保健室の死神,新世紀アイドル伝説 彼方セブンチェンジ,新連載作品(10週未満),賢い犬リリエンタール,銀魂,鍵人 -カギジン-,魔人探偵 脳噛ネウロ,黒子のバスケ
1,,5,休,16,3,2,14,6,15,17,,10,8,12,,,,,,11,18,4,9,19,,1,,,,,7,,13,
2,,4,休,12,2,3,18,14,11,16,,13,15,10,,,,,,9,19,6,5,休,,7,,,,,8,,17,1
3,,4,休,休,2,休,13,9,10,17,,7,12,16,,,1,,,14,18,3,5,19,,8,,,,,6,,15,11
4,,6,休,休,2,1,15,5,7,20,,17,11,14,,,9,,,8,21,13,4,22,,12,,,,,3,,18,10
6,,4,休,休,1,2,16,5,6,19,,11,15,17,,,13,,,10,20,3,8,休,,14,,,,,9,,18,12
8,,6,休,休,3,2,16,5,8,19,,9,14,18,,,12,,,15,20,4,7,21,,10,,,,,1,,17,13
9,,5,休,休,3,2,8,7,17,20,,6,11,19,,,13,,,1,21,4,10,22,,12,,,,,9,,18,16
10,,5,休,休,3,2,7,6,17,16,,9,11,19,,,13,,,8,20,1,4,21,,18,,,,,12,,10,14
11,,6,休,休,1,2,13,9,10,15,,14,16,17,,,8,,,11,20,4,7,21,,19,,,,,3,,18,5
12,,4,休,休,2,1,12,5,14,18,,6,9,15,,,13,,,16,,3,7,20,,19,,,,,10,,17,8
13,,8,休,休,2,3,14,10,17,19,,13,11,18,,1,16,,,7,,5,12,20,,,,,,,6,,4,9
14,,5,休,休,2,休,15,6,12,18,,13,11,10,,4,17,,,14,,3,8,19,1,,,,,,9,,16,7
15,,1,12,休,3,2,16,5,18,11,,15,13,7,,9,17,,,19,,8,4,21,6,,,,,,10,,20,14
16,,8,17,休,3,2,19,4,18,20,,16,14,6,,11,10,,,15,,5,1,21,7,,,,,,12,,9,13
17,,6,19,休,3,2,15,9,8,20,,12,1,14,,7,17,,,18,,4,13,21,10,,,,,,5,,11,16
18,,4,18,休,2,1,11,8,9,20,,12,15,13,,7,19,,,17,,3,14,21,10,,,,,,5,,16,6
19,,5,18,休,1,2,10,3,11,20,,9,15,16,,4,17,,,19,,6,12,21,14,,,,,,7,,13,8
20,,1,17,休,2,3,9,5,10,20,,12,15,16,,6,19,,,13,,4,8,21,18,,,,,,11,,14,7
21,,4,11,休,2,休,15,5,13,20,,6,12,16,,7,18,,,17,,3,1,21,19,,,,,,10,,14,9
22,,2,17,休,3,1,15,9,11,18,,6,12,16,,10,20,,,13,,5,7,21,19,,,,,,14,,,4
24,,6,休,休,3,2,13,10,14,17,,4,11,15,,5,,1,,16,,7,8,19,18,,,,,,12,,,9
25,1,6,休,休,3,2,16,10,15,9,,7,12,18,,8,,4,,17,,11,13,20,19,,,,,,5,,,14
26,4,5,休,休,3,2,7,9,15,18,,11,14,17,,1,,8,,16,,6,12,20,19,,,,,,10,,,13
27,9,5,休,休,3,2,14,4,18,19,,6,1,17,,10,,7,,16,,12,13,21,20,,,,,,15,,,11
28,7,5,休,休,2,3,9,1,15,19,,6,16,18,,4,,10,,17,,14,13,21,20,,,,,,11,,,12
29,10,4,休,休,2,3,18,9,11,19,,6,16,13,,5,,7,,14,,1,17,21,20,,,,,,15,,,12
30,11,7,休,休,2,1,14,9,16,18,,6,12,15,,5,,10,,,,3,4,20,19,,,,,,13,,,17
31,8,10,休,休,1,3,15,12,5,18,,4,14,7,,13,,11,,,,休,17,20,19,,,,,,2,,,16
32,15,4,休,休,2,3,17,12,5,18,1,7,14,8,,9,,11,,,,10,6,19,,,,,,,16,,,13
33,17,8,休,休,2,休,9,6,11,14,4,7,10,13,,3,,15,,,,12,16,19,,,,,,,5,1,,18
34,20,12,休,休,3,2,10,17,11,19,5,15,8,7,,13,,14,4,,,1,6,21,,,,,,,16,9,,18
35,21,3,休,休,1,2,12,5,15,22,13,17,14,4,,8,,18,6,,,19,20,23,,,,,,,7,11,,16
36,19,10,休,休,2,3,15,4,11,21,9,6,1,18,,16,,17,12,,,5,13,22,,,,,,,14,7,,20
37,21,3,休,休,2,1,14,17,15,22,7,6,16,10,,5,,20,9,,,18,19,23,,,,,,,4,11,,13
39,21,7,,休,2,3,9,4,10,22,11,6,16,17,,15,,19,20,,,5,1,12,,,,,,,13,14,,18
40,21,5,,休,3,2,20,4,10,15,12,6,14,9,,1,,22,11,,,16,17,23,,,,,,,13,19,,7
41,11,5,,休,2,3,10,14,18,,15,8,4,13,,17,,19,16,,,7,9,21,,,1,,,,6,20,,12
42,18,5,,休,2,休,17,6,11,,16,15,10,12,,3,,19,8,,,9,14,21,,,4,,,1,13,20,,7
43,20,4,,休,3,2,17,8,18,,12,13,16,1,,10,,15,9,,,14,11,22,,,7,,,5,6,21,,19
44,16,1,,休,3,2,19,5,7,,18,6,10,15,,13,,20,17,,,8,14,22,,,12,,,9,4,21,,11
45,20,5,,休,2,3,15,1,18,,8,6,11,4,,17,,19,14,,,10,7,22,,,12,,,9,16,21,,13
46,20,2,,休,1,3,12,8,5,,18,6,9,13,,7,,16,14,,,10,17,22,,,11,,,15,4,21,,19
47,19,3,,休,2,休,18,4,15,,14,7,11,5,,12,,17,13,,,6,1,21,,,10,,,8,16,20,,9
48,19,1,,休,休,3,14,4,8,,15,7,10,12,,5,,18,16,,,6,17,21,,,11,,,13,2,20,,9
49,21,7,,休,2,3,10,12,13,,11,6,16,5,,8,,19,14,,,9,4,休,,,15,,,17,1,20,,18
50,,6,,休,2,3,9,10,17,,19,7,11,8,1,14,,16,15,,,休,12,21,,,13,,,18,5,20,,4
51,,3,,休,2,休,16,7,13,,14,6,12,4,5,8,,20,18,,,10,15,21,,,17,1,,11,9,,,19
52,,休,,休,3,2,5,11,15,,21,10,13,12,8,18,,14,,,,1,19,17,,,20,4,,16,9,,,6
53,,3,,休,2,1,20,8,17,,16,10,13,5,7,4,,21,,,,18,6,22,,,14,9,,19,15,,,11
