,BLEACH,HUNTER×HUNTER,LIGHT WING,LOCKON!,NARUTO −ナルト−,ONE PIECE,PSYREN −サイレン−,REBORN!,SKET DANCE,SWOT,enígme 【エニグマ】,あねどきっ,いぬまるだしっ,こちら葛飾区亀有公園前派出所,ぬらりひょんの孫,ねこわっぱ!,べるぜバブ,めだかボックス,トリコ,バクマン。,ピューと吹く! ジャガー,メタリカメタルカ,保健室の死神,少年疾駆,新世紀アイドル伝説 彼方セブンチェンジ,新連載作品(10週未満),詭弁学派、四ッ谷先輩の怪談。,賢い犬リリエンタール,逢魔ヶ刻動物園,銀魂,黒子のバスケ
1,4,休,,,2,1,19,11,9,,,20,12,7,8,13,6,17,3,16,21,,18,,10,,,14,,5,15
2,3,休,,,2,1,14,9,18,,,22,6,15,19,13,11,17,16,4,23,,20,,10,,,21,,5,7
3,8,休,,,1,3,10,15,6,,,21,16,7,5,12,2,18,4,9,22,,20,,13,,,17,,11,19
5,1.0,6.0,,,2.0,3.0,12.0,7.0,16.0,,,22.0,13.0,15.0,8.0,19.0,10.0,21.0,9.0,17.0,23.0,,20.0,,11.0,,,18.0,,4.0,5.0
7,6.0,14.0,,,3.0,2.0,10.0,9.0,13.0,,,21.0,16.0,12.0,8.0,20.0,7.0,17.0,4.0,5.0,22.0,,15.0,,18.0,,,19.0,,11.0,1.0
8,5.0,15.0,,,3.0,2.0,1.0,10.0,13.0,,,,12.0,8.0,6.0,21.0,9.0,14.0,7.0,18.0,22.0,,20.0,,16.0,,,19.0,,4.0,11.0
9,5.0,17.0,,,3.0,2.0,11.0,10.0,13.0,,,,16.0,12.0,7.0,21.0,4.0,20.0,6.0,1.0,22.0,,19.0,,14.0,,,15.0,,8.0,18.0
10,5.0,13.0,,,3.0,2.0,19.0,10.0,8.0,,,,11.0,6.0,4.0,21.0,16.0,20.0,12.0,18.0,22.0,,15.0,,17.0,,,14.0,,1.0,7.0
11,1.0,14.0,,,2.0,3.0,11.0,7.0,16.0,,,,13.0,8.0,5.0,22.0,9.0,19.0,6.0,4.0,23.0,,17.0,,18.0,,,21.0,,10.0,20.0
12,休,13,,1,3,2,17,6,9,,,,12,7,5,,4,18,10,15,20,,16,,19,,,14,,11,8
13,3,15,,5,2,休,7,6,13,,,,11,9,8,,4,12,14,10,20,,18,,,,1,19,,16,17
14,5.0,16.0,,10.0,3.0,2.0,19.0,7.0,17.0,,,,15.0,1.0,13.0,,12.0,14.0,8.0,11.0,21.0,,18.0,,,,6.0,20.0,,4.0,9.0
15,4.0,18.0,,10.0,3.0,2.0,5.0,12.0,6.0,,,,9.0,13.0,1.0,,14.0,11.0,15.0,8.0,22.0,,21.0,,,,7.0,20.0,,16.0,19.0
16,6.0,16.0,,12.0,2.0,1.0,20.0,13.0,18.0,,,,11.0,17.0,4.0,,15.0,19.0,3.0,5.0,22.0,,14.0,,,,10.0,21.0,,7.0,8.0
17,5.0,18.0,,12.0,2.0,3.0,11.0,1.0,8.0,,,,17.0,10.0,7.0,,19.0,15.0,16.0,13.0,22.0,,20.0,,,,14.0,21.0,,4.0,6.0
18,5.0,17.0,,6.0,1.0,3.0,7.0,9.0,13.0,,,,12.0,15.0,10.0,,2.0,19.0,8.0,18.0,21.0,,14.0,,,,11.0,20.0,,16.0,4.0
