,BLEACH,HUNGRY JOKER,HUNTER×HUNTER,NARUTO −ナルト−,ONE PIECE,REBORN!,SKET DANCE,ST&RS -スターズ-,magico,いぬまるだしっ,こちら葛飾区亀有公園前派出所,ぬらりひょんの孫,べるぜバブ,めだかボックス,クロガネ,クロス・マネジ,タカマガハラ,トリコ,ニセコイ,ハイキュー!!,バクマン。,パジャマな彼女。,恋染紅葉,戦星のバルジ,斉木楠雄のψ難,新米婦警キルコさん,新連載作品(10週未満),暗殺教室,烈!!! 伊達先パイ,現存! 古代生物史 パッキー,銀魂,鏡の国の針栖川,食戟のソーマ,黒子のバスケ
1,18.0,,15.0,4.0,2.0,13.0,10.0,21.0,20.0,17.0,14.0,6.0,19.0,11.0,16.0,,,3.0,7.0,,1.0,,,,,,,,,8.0,5.0,9.0,,12.0
2,18.0,,15.0,2.0,3.0,13.0,14.0,21.0,17.0,12.0,19.0,20.0,8.0,6.0,10.0,,,1.0,7.0,,4.0,,,,,,,,,9.0,5.0,11.0,,16.0
3,6.0,,19.0,1.0,3.0,5.0,13.0,22.0,21.0,15.0,17.0,20.0,4.0,16.0,12.0,,,7.0,8.0,,14.0,,,,,,,,,11.0,2.0,18.0,,10.0
5,11.0,,18.0,2.0,1.0,16.0,4.0,21.0,17.0,15.0,13.0,20.0,6.0,12.0,7.0,,,3.0,5.0,,10.0,,,,,,,,,8.0,9.0,19.0,,14.0
7,8.0,,19.0,5.0,2.0,18.0,7.0,20.0,16.0,17.0,14.0,21.0,11.0,13.0,6.0,,,4.0,9.0,,10.0,,,,,,,,,12.0,3.0,15.0,,1.0
8,休,,19,4,2,6,1,20,14,16,18,11,12,17,13,,,3,8,,5,,,,,,,,,10,7,15,,21
9,休,,17,5,2,8,6,19,14,15,12,21,16,11,13,,,1,7,,4,,,,,,,,,10,3,20,,18
10,休,,11,4,3,12,10,19,15,14,6,17,7,18,13,,,2,8,,1,,,,,,,,,20,5,21,,16
11,1.0,,14.0,2.0,3.0,10.0,9.0,20.0,17.0,16.0,12.0,13.0,7.0,18.0,11.0,,,4.0,6.0,,5.0,,,,,,,,,15.0,8.0,21.0,,19.0
12,7.0,,20.0,4.0,3.0,10.0,17.0,21.0,14.0,16.0,19.0,11.0,5.0,18.0,12.0,,,2.0,9.0,1.0,13.0,,,,,,,,,15.0,8.0,,,6.0
13,4,,20,2,休,9,5,21,19,15,17,18,7,14,12,,,3,10,6,11,1,,,,,,,,13,8,,,16
14,9,,16,3,2,13,1,21,20,17,14,18,8,15,5,,,4,11,10,7,6,,,,,,,,19,休,,,12
15,4.0,,22.0,3.0,2.0,17.0,15.0,21.0,11.0,16.0,18.0,19.0,1.0,14.0,6.0,,,8.0,12.0,5.0,9.0,7.0,,,,,,,,13.0,10.0,,,20.0
16,落,,19,2,1,6,3,21,12,14,17,11,15,20,16,,,休,10,7,4,5,,,,,,,,9,13,,,8
17,4,,休,1,3,10,12,22,11,18,17,21,13,15,16,,,2,14,5,9,7,,,,,,,,20,8,,,19
18,2,,休,2,3,11,4,14,10,9,5,8,7,1,12,,,6,4,8,5,7,,,,,,,,13,3,,,1
19,1,,休,3,休,10,11,21,16,14,12,19,15,6,17,,,2,8,7,4,5,,,,,,,,20,13,,,18
20,15,,休,3,2,16,5,22,18,13,1,19,4,20,17,,,7,10,6,11,14,,,,,,,,21,8,,,12
21,10,,休,2,1,17,4,,14,12,8,18,6,20,15,,,3,11,13,16,7,,,,,,,,21,5,,,19
23,15,,休,5,6,17,10,,9,13,16,19,11,18,12,,,3,7,8,,14,1,,,,,,,20,2,,,4
24,17,,休,2,3,15,11,,19,13,16,20,8,10,18,,,6,9,5,,12,7,,1,,,,,,4,,,14
25,13,,休,3,2,18,12,,20,14,15,21,10,16,19,,,4,9,8,,11,7,1,5,,,,,,6,,,17
26,18,,休,2,3,16,13,,22,11,14,20,12,15,19,,,1,8,5,,17,10,6,7,,,,,,4,,,21
27,1,,休,5,3,19,14,,21,22,16,15,13,17,10,,,2,12,7,,20,9,8,11,,,,,,4,,,18
