,BLEACH,HACHI,HUNGRY JOKER,HUNTER×HUNTER,NARUTO −ナルト−,ONE PIECE,SKET DANCE,SOUL CATCHER(S),こちら葛飾区亀有公園前派出所,ひめドル!!,べるぜバブ,めだかボックス,クロガネ,クロクロク,クロス・マネジ,スモーキーB.B.,トリコ,ニセコイ,ハイキュー!!,ワールドトリガー,恋するエジソン,恋のキューピッド 焼野原塵,斉木楠雄のψ難,新米婦警キルコさん,新連載作品(10週未満),暗殺教室,烈!!! 伊達先パイ,無刀ブラック,磯部磯兵衛物語 〜浮世はつらいよ〜,銀河パトロール　ジャコ,銀魂,食戟のソーマ,黒子のバスケ
1,9.0,,12.0,4.0,6.0,3.0,10.0,,17.0,,16.0,20.0,21.0,,18.0,,1.0,11.0,15.0,,,,8.0,7.0,,2.0,19.0,,,,14.0,13.0,5.0
2,7.0,,10.0,11.0,2.0,1.0,17.0,,19.0,,15.0,16.0,18.0,,20.0,,4.0,5.0,13.0,,,,9.0,8.0,,3.0,21.0,,,,14.0,12.0,6.0
3,10,,13,休,5,1,14,,19,,12,20,18,,16,,3,6,9,,,,4,15,,7,11,,,,17,8,2
4,10,,8,休,9,1,15,,17,,14,20,18,,19,,4,5,7,,,,3,11,,2,21,,,,16,13,6
6,11,,17,休,3,2,12,,18,,15,20,19,,21,,6,8,7,,,,10,16,,4,22,,,,9,14,1
8,7,,14,休,1,2,8,,18,,16,19,21,,20,,5,9,10,,,,11,17,,3,15,,,,13,6,4
9,15,,11,休,2,3,10,,18,,13,17,20,,14,,1,12,9,,,,5,8,,7,19,,,,16,4,6
10,5,,17,休,2,3,11,,16,,13,15,,,18,,8,10,12,,1,,4,19,,6,20,,,,14,9,7
11,落,,16,休,5,3,13,,14,,8,17,,,19,,7,12,10,1,4,,9,18,,2,,,,,落,11,6
12,16,,20,休,8,休,13,,14,,15,17,,,18,,2,12,1,4,6,,11,19,,3,,,,,9,5,10
13,9,,19,休,8,1,17,,16,,15,18,,,20,,5,13,12,6,10,,3,21,,2,,,,,14,11,4
