,BLEACH,E-ROBOT,HACHI,HUNTER×HUNTER,ILLEGAL RARE,NARUTO −ナルト−,ONE PIECE,SOUL CATCHER(S),Sporting Salt,TOKYO WONDER BOYS,i・ショウジョ,こちら葛飾区亀有公園前派出所,べるぜバブ,アイアンナイト,ジュウドウズ,ステルス交境曲,トリコ,ニセコイ,ハイキュー!!,ハイファイクラスタ,モロモノの事情,ヨアケモノ,ワールドトリガー,三ツ首コンドル,僕のヒーローアカデミア,卓上のアゲハ,恋のキューピッド 焼野原塵,斉木楠雄のψ難,新連載作品(10週未満),暗殺教室,火ノ丸相撲,磯部磯兵衛物語 〜浮世はつらいよ〜,銀魂,食戟のソーマ,黒子のバスケ
1,15,,12,休,,3,休,9,,,,16,17,1,,,6,11,8,,,,7,,,,18,10,,2,,13,14,4,5
2,13,,19,休,,5,2,14,,,,18,16,9,,,8,15,11,,,,7,,,,20,10,,3,,17,1,6,4
3,17,,20,休,,9,2,13,,,,19,10,7,,,11,12,14,,,,4,,,,18,16,,6,,15,5,3,1
4,16,,15,休,,2,3,11,,,,17,18,10,,,4,12,9,,,,8,,,,19,6,,1,,14,13,7,5
6,17,,21,休,,3,1,8,,,,13,19,12,,,2,4,11,,,,15,,,,20,10,,5,,14,16,7,6
8,14,,19,休,,4,2,11,,,,15,18,16,,,休,9,1,,,,13,,,,20,12,,3,,5,7,6,10
9,15,,17,休,,1,2,13,,,,16,19,14,,,休,4,8,,,,休,,,,18,10,,6,,7,11,5,3
10,14,,19,休,,休,3,8,,,,17,18,16,,,1,10,7,,,,12,,,,20,15,,2,,13,5,6,9
11,16,,20,休,1,2,3,13,,,,14,18,17,,,4,10,6,,,,9,,,,19,11,,5,,15,12,7,8
12,14,,19,休,4,6,休,15,,,1,16,17,18,,,3,5,11,,,,13,,,,20,10,,2,,12,9,8,7
13,19,,,休,7,9,2,17,,,4,18,10,20,,1,6,15,12,,,,落,,,,,13,,5,,11,14,8,3
14,18,,,休,12,3,2,16,,1,8,19,,20,,4,15,10,7,,,,9,,,,,11,,5,,13,17,6,14
15,17,,,休,13,5,2,18,,4,11,19,,20,,8,6,14,15,,,,1,,,,,12,,7,,10,16,9,3
16,19,,,休,15,2,1,16,,5,14,18,,20,,8,13,6,12,,,,17,,,,,10,,4,,7,11,3,9
17,9,,,休,6,5,休,19,,7,11,18,,20,,13,落,16,14,,,,15,,,,,12,,2,,10,17,3,1
18,15,,,休,17,6,2,18,,11,16,20,,21,,10,4,19,1,,,,9,,,,,8,,3,,13,14,12,5
19,19,,,休,11,1,3,20,,14,12,18,,,,16,7,8,9,,,,17,,,,,13,,4,,15,5,10,2
20,13,,,休,9,8,3,17,,20,15,19,,,,18,5,1,6,,,,14,,,,,10,,2,,12,16,4,11
21,15,,,休,13,2,休,14,,19,16,17,,,,18,5,6,10,,,,12,,,,,11,,4,,9,1,8,3
22,19,,,休,18,6,1,15,,20,14,16,,,,17,9,10,8,,,,13,,,,,5,,2,,7,12,3,4
24,15,,,休,14,4,3,13,,20,17,16,,,,19,11,9,6,,,,18,,,,,12,,1,,10,8,5,2
