,BLEACH,E-ROBOT,HUNTER×HUNTER,ONE PIECE,Sporting Salt,Ultra Battle Satellite,こちら葛飾区亀有公園前派出所,カガミガミ,ジュウドウズ,トリコ,ニセコイ,ハイキュー!!,ハイファイクラスタ,ブラッククローバー,ワールドトリガー,僕のヒーローアカデミア,卓上のアゲハ,学糾法廷,改造人間ロギイ,斉木楠雄のψ難,新連載作品(10週未満),暗殺教室,火ノ丸相撲,磯部磯兵衛物語 〜浮世はつらいよ〜,銀魂,食戟のソーマ
1,10,4,休,3,20,,17,,18,11,16,5,19,,14,2,9,1,,15,,6,7,13,12,8
2,16,8,休,休,19,,18,,17,5,1,6,20,,9,3,13,4,,14,,7,11,12,15,2
3,18,11,休,2,21,,19,,20,14,15,5,16,,10,1,7,6,,3,,4,9,17,12,8
4,17,10,休,1,19,,15,,18,12,14,8,20,,7,3,11,6,,9,,2,4,16,13,5
6,11,16,休,3,21,,15,,18,2,10,5,17,,落,4,14,6,,19,,1,8,13,7,12
8,落,16,休,5,19,,18,,21,12,6,7,20,,14,2,13,8,,4,,3,11,15,1,10
9,17,16,休,3,19,,15,,,12,14,1,20,,7,2,13,10,,9,,4,5,18,11,6
10,10,19,休,1,20,,12,,,4,14,7,,,17,2,16,8,,5,,6,9,18,15,3
11,14,17,休,休,,,15,1,,8,9,3,,,12,4,16,13,,10,,2,7,18,5,6
12,17,18,休,2,,,15,4,,6,14,8,,1,休,3,16,11,,9,,5,10,19,12,7
13,16,,休,3,,,17,9,,15,14,7,,4,13,5,18,10,1,12,,2,11,19,6,8
14,13,,休,3,,1,17,11,,10,12,6,,8,18,5,19,16,4,9,,7,15,20,14,2
15,18,,休,1,,4,17,9,,12,15,3,,13,16,8,19,20,7,14,,2,5,11,10,6
16,11,,休,休,,6,18,13,,3,9,2,,8,17,4,19,16,15,12,,1,14,20,7,5
17,17,,休,2,,13,16,8,,15,14,1,,10,休,4,19,18,5,12,,3,7,20,9,6
18,17,,休,2,,9,18,7,,6,8,10,,4,14,3,19,20,15,12,,5,13,21,11,1
19,13,,休,2,,18,17,7,,12,8,3,,11,5,1,20,19,16,15,,9,10,21,6,4
20,15,,休,3,,13,16,8,,休,11,5,,4,14,6,18,19,17,9,,2,10,20,1,7
